date,austin,bayarea,total
2025-06-28,,,11
2025-06-30,,,11
2025-07-03,,,11
2025-07-05,,,11
2025-07-08,,,11
2025-07-10,,,11
2025-07-12,,,11
2025-07-15,,,11
2025-07-17,,,11
2025-07-20,,,11
2025-07-22,,,11
2025-07-25,,,11
2025-07-27,,,11
2025-07-30,,,14
2025-08-01,,,14
2025-08-04,,,14
2025-08-06,,,14
2025-08-08,,,14
2025-08-11,,,14
2025-08-13,,,14
2025-08-16,,,13
2025-08-18,,,13
2025-08-21,,,13
2025-08-23,13,1,14
2025-08-25,13,1,14
2025-08-28,13,1,14
2025-08-31,13,1,14
2025-09-02,13,3,16
2025-09-04,15,8,23
2025-09-07,20,19,39
2025-09-09,20,23,43
2025-09-12,20,28,48
2025-09-14,20,31,51
2025-09-16,20,39,59
2025-09-19,20,50,70
2025-09-21,20,56,76
2025-09-24,21,57,78
2025-09-26,21,60,81
2025-09-29,21,59,80
2025-10-01,22,60,82
2025-10-04,22,64,86
2025-10-06,22,67,89
2025-10-09,22,70,92
2025-10-11,22,76,98
2025-10-13,22,83,105
2025-10-16,22,84,106
2025-10-18,22,85,107
2025-10-21,22,83,105
2025-10-23,22,89,111
2025-10-26,22,91,113
2025-10-28,22,94,116
2025-10-31,22,94,116
2025-11-02,22,97,119
2025-11-05,23,96,119
2025-11-07,24,97,121
2025-11-09,27,99,126
2025-11-12,29,101,130
2025-11-14,29,103,132
2025-11-17,28,106,134
2025-11-19,28,105,133
2025-11-22,28,105,133
2025-11-24,28,118,146
2025-11-27,28,131,159
2025-11-29,28,132,160
2025-12-01,27,129,156
2025-12-04,27,75,102
2025-12-06,27,73,100
2025-12-09,27,61,88
2025-12-11,27,51,78
2025-12-14,27,52,79
2025-12-16,26,48,74
2025-12-19,26,42,68
2025-12-21,26,39,65
2025-12-24,28,37,65
2025-12-26,27,38,65
2025-12-28,25,35,60
2025-12-31,28,36,64
2026-01-02,28,40,68
2026-01-05,29,49,78
2026-01-07,29,51,80
2026-01-10,26,59,85
2026-01-12,28,68,96
2026-01-15,33,64,97
2026-01-17,31,71,102
2026-01-20,26,55,81
2026-01-22,32,57,89
2026-01-24,40,58,98
2026-01-27,39,56,95
2026-01-29,41,57,98
2026-02-01,42,58,100
2026-02-03,42,54,96
2026-02-06,42,54,96
2026-02-08,43,60,103
2026-02-11,44,63,107
2026-02-13,44,66,110
2026-02-16,37,66,103
2026-02-18,33,68,101
2026-02-20,33,70,103
2026-02-23,33,37,70
2026-02-25,32,37,69
2026-02-28,29,36,65
