date,austin,bayarea,total
2025-08-15,15,,15
2025-08-22,15,1,16
2025-09-01,15,3,18
2025-09-04,15,4,19
2025-09-05,15,5,20
2025-09-06,16,7,23
2025-09-07,18,7,25
2025-09-14,18,8,26
2025-09-18,18,9,27
2025-09-20,18,10,28
2025-09-26,18,11,29
2025-10-01,19,11,30
2025-10-02,20,13,33
2025-10-03,21,14,35
2025-10-04,21,15,36
2025-10-06,21,20,41
2025-10-08,23,24,47
2025-10-10,23,26,49
2025-10-19,23,28,51
2025-10-20,23,29,52
2025-10-21,24,29,53
2025-10-23,24,31,55
2025-10-27,24,32,56
2025-11-02,24,33,57
2025-11-05,25,33,58
2025-11-07,26,33,59
2025-11-08,28,33,61
2025-11-09,29,35,64
2025-11-10,31,36,67
2025-11-21,31,37,68
2025-11-23,31,45,76
2025-11-24,31,83,114
2025-11-25,31,115,146
2025-11-26,31,116,147
2025-11-27,31,117,148
2025-11-28,31,118,149
2025-11-29,31,121,152
2025-12-01,31,125,156
2025-12-02,31,129,160
2025-12-09,31,130,161
2025-12-10,31,131,162
2025-12-13,31,132,163
2025-12-15,31,133,164
2025-12-16,31,134,165
2025-12-20,31,135,166
2025-12-26,32,135,167
2025-12-29,33,136,169
2025-12-31,33,137,170
2026-01-01,34,137,171
2026-01-02,35,138,173
2026-01-03,35,141,176
2026-01-04,35,142,177
2026-01-05,35,146,181
2026-01-06,37,148,185
2026-01-07,37,149,186
2026-01-08,37,151,188
2026-01-09,38,152,190
2026-01-10,38,155,193
2026-01-11,39,165,204
2026-01-12,41,166,207
2026-01-13,42,166,208
2026-01-14,45,167,212
2026-01-15,46,167,213
2026-01-16,48,167,215
2026-01-17,51,174,225
2026-01-18,53,174,227
2026-01-19,55,176,231
2026-01-20,57,176,233
2026-01-21,58,176,234
2026-01-22,63,181,244
2026-01-23,76,181,257
2026-01-24,78,181,259
2026-01-25,78,187,265
2026-01-29,80,187,267
2026-01-31,81,187,268
2026-02-02,81,189,270
2026-02-04,82,191,273
2026-02-07,83,192,275
